Epoch,loss,accuracy,val_loss,val_accuracy
0,6.040678024291992,0.550000011920929,6.169979095458984,0.6000000238418579
1,5.867691516876221,0.5874999761581421,6.169979095458984,0.6000000238418579
2,6.063622951507568,0.574999988079071,6.169979095458984,0.6000000238418579
3,5.765423774719238,0.59375,6.169979095458984,0.6000000238418579
4,5.680882453918457,0.6000000238418579,6.169979095458984,0.6000000238418579
5,5.362875938415527,0.59375,6.169979095458984,0.6000000238418579
6,4.77294397354126,0.6187499761581421,6.169979095458984,0.6000000238418579
7,4.917597770690918,0.637499988079071,6.169979095458984,0.6000000238418579
8,4.655785083770752,0.6499999761581421,5.699796199798584,0.6000000238418579
9,4.772979259490967,0.625,5.6249284744262695,0.6000000238418579
10,4.5312886238098145,0.65625,4.709160804748535,0.6000000238418579
11,4.28379487991333,0.65625,4.603505611419678,0.6000000238418579
12,4.167611122131348,0.675000011920929,5.606896877288818,0.6000000238418579
13,3.867804765701294,0.699999988079071,5.60550594329834,0.6000000238418579
14,4.207175254821777,0.6625000238418579,4.477846145629883,0.6000000238418579
15,4.031182765960693,0.6812499761581421,4.421262741088867,0.6800000071525574
16,3.5060627460479736,0.731249988079071,4.411835193634033,0.6800000071525574
17,3.7352676391601562,0.7437499761581421,4.4177021980285645,0.6800000071525574
18,3.299685001373291,0.731249988079071,4.419013023376465,0.6800000071525574
19,3.4692370891571045,0.737500011920929,4.417025089263916,0.7200000286102295
20,3.0388975143432617,0.7562500238418579,4.421161651611328,0.7200000286102295
21,3.005732297897339,0.7749999761581421,3.9311578273773193,0.7200000286102295
22,3.0775198936462402,0.737500011920929,3.9267055988311768,0.6800000071525574
23,3.159815549850464,0.7562500238418579,3.4961555004119873,0.6000000238418579
24,2.093324899673462,0.8062499761581421,3.982816457748413,0.6399999856948853
25,2.3748881816864014,0.762499988079071,4.5250654220581055,0.6000000238418579
26,2.333711862564087,0.800000011920929,4.528067111968994,0.5600000023841858
27,2.5693249702453613,0.8187500238418579,4.044614315032959,0.6000000238418579
