Model_Num,Best_Loss,Best_Acc,Best_Loss_Val,Best_Acc_Val
0,4.5006103515625,1.0,1.8604393005371094,0.8999999761581421
1,5.799522876739502,1.0,5.005357265472412,1.0
2,6.878037452697754,1.0,6.833271026611328,0.800000011920929
3,5.320765972137451,1.0,12.234532356262207,0.6000000238418579
4,5.726707458496094,1.0,9.149542808532715,0.800000011920929
